"ID","Sexe","Age","Contrat","Temps","Encadre","Ancienne","Secteur","TailleOr","PGC2","PGC3","PGC4","CSE4","CSE5","CSA5","EVPVP3","EVPVP4","EVPVP5","RECO1","RECO3","RECO5","JUST3","JUST4","JUST6","PPD1","PPD2","PPD3","COM3","COM4","COM5","DL3","DL4","DL5","PI1","PI2","PI3","PD1","PD3","PD5","ENG1","ENG2","ENG3","EPUI1","EPUI2","EPUI3","EPUI4","EPUI5"
"1383","2","28","1","1","1","1.5","1","3","2","4","3","2","3","1","3","2","5","4","4","4","3","2","3","2","2","2","5","3","4","4","4","4","4","4","3","2","3","3","3","4","4","3","5","3","4","3"
"1384","2","25","1","1","2","3","1","2","3","4","4","5","3","3","1","1","2","3","3","3","5","3","5","2","3","3","3","4","4","4","3","3","2","2","4","4","5","5","4","5","5","4","5","4","4","3"
"1385","2","25","1","1","1","1","2","4","5","4","1","2","2","2","3","3","3","3","3","3","1","3","3","1","1","1","2","1","2","1","2","2","3","2","2","1","2","1","4","5","3","4","3","3","3","3"
"1386","2","39","1","1","2","8","1","2","1","1","1","1","1","1","1","2","3","2","1","2","2","1","1","1","1","1","1","1","1","2","2","1","1","2","1","1","1","1","1","1","2","5","5","5","4","5"
"1387","2","28","1","1","2","8","1","2","4","3","4","4","3","2","3","5","5","5","4","5","5","5","4","4","2","3","5","5","5","4","2","3","4","4","4","3","4","5","5","5","5","2","3","2","2","1"
"1388","2","38","1","1","2","17","1","4","4","2","2","2","1","3","1","4","2","1","3","1","2","1","2","1","1","1","2","3","2","1","2","2","2","3","1","3","3","4","1","4","1","5","5","5","5","4"
"1389","2","30","1","1","1","3","1","2","3","2","2","2","2","1","2","5","4","2","2","2","2","1","2","1","1","2","2","4","4","3","3","2","3","2","1","4","4","4","2","2","2","4","4","4","4","4"
"1390","2","55","1","1","2","10","1","5","5","5","5","5","4","5","3","4","4","4","5","5","4","4","4","3","3","3","5","5","5","4","4","4","4","4","4","3","4","4","4","5","4","3","4","3","3","2"
"1391","2","29","1","1","1","0.25","3","2","4","4","3","2","3","2","2","3","3","1","2","2","3","2","3","2","2","2","2","2","1","3","1","3","3","2","4","1","2","2","2","4","3","4","3","4","4","4"
"1392","1","33","1","1","1","4","1","3","1","1","3","3","1","3","1","1","4","1","1","1","1","1","1","1","1","1","1","1","2","1","1","2","1","2","1","1","3","2","1","1","1","5","5","3","5","5"
